Date,Open,High,Low,Close,Adj Close,Volume
2022-04-12,379.1499938964844,392.19000244140625,373.6099853515625,376.8299865722656,376.8299865722656,110600
2022-04-13,371.07000732421875,379.6000061035156,371.07000732421875,375.1300048828125,375.1300048828125,77900
2022-04-14,376.95001220703125,376.95001220703125,363.67999267578125,365.760009765625,365.760009765625,172500
2022-04-18,361.92999267578125,365.19000244140625,352.0299987792969,357.67999267578125,357.67999267578125,184000
2022-04-19,359.2099914550781,372.4200134277344,359.2099914550781,364.8699951171875,364.8699951171875,157600
2022-04-20,363.8800048828125,369.8500061035156,354.1000061035156,361.2200012207031,361.2200012207031,153400
2022-04-21,364.29998779296875,366.17999267578125,342.989990234375,345.9700012207031,345.9700012207031,233700
2022-04-22,330.3800048828125,366.70001220703125,325.5299987792969,350.70001220703125,350.70001220703125,475700
2022-04-25,349.5899963378906,358.25,340.7900085449219,358.25,358.25,201200
2022-04-26,359.510009765625,366.7699890136719,356.70001220703125,359.6000061035156,359.6000061035156,162200
2022-04-27,361.3800048828125,379.9800109863281,358.5400085449219,359.6400146484375,359.6400146484375,224500
2022-04-28,364.3900146484375,378.3699951171875,356.1700134277344,377.2200012207031,377.2200012207031,206900
2022-04-29,379.989990234375,383.6300048828125,374.0899963378906,375.0,375.0,154300
2022-05-02,375.3800048828125,395.6199951171875,371.8399963378906,391.3299865722656,391.3299865722656,317100
2022-05-03,389.8299865722656,393.29998779296875,379.4700012207031,381.2200012207031,381.2200012207031,192900
2022-05-04,382.9700012207031,389.07000732421875,373.0,388.6600036621094,388.6600036621094,171400
2022-05-05,383.75,383.75,366.0799865722656,373.1099853515625,373.1099853515625,155400
2022-05-06,372.32000732421875,374.989990234375,359.010009765625,372.3900146484375,372.3900146484375,132500
2022-05-09,368.3299865722656,376.8800048828125,355.5799865722656,358.989990234375,358.989990234375,166000
2022-05-10,361.32000732421875,361.3299865722656,345.3500061035156,359.2699890136719,359.2699890136719,151800
2022-05-11,358.510009765625,360.1300048828125,337.55999755859375,340.0299987792969,340.0299987792969,199800
2022-05-12,336.6000061035156,356.7099914550781,332.0400085449219,347.1499938964844,347.1499938964844,168300
2022-05-13,353.94000244140625,361.67999267578125,350.8299865722656,358.2900085449219,358.2900085449219,125400
2022-05-16,354.05999755859375,363.0,351.1700134277344,354.5,354.5,67900
2022-05-17,358.7699890136719,361.2099914550781,347.6700134277344,356.5199890136719,356.5199890136719,103900
2022-05-18,353.54998779296875,353.54998779296875,335.92999267578125,337.20001220703125,337.20001220703125,116200
2022-05-19,333.4200134277344,335.67999267578125,323.0299987792969,329.1700134277344,329.1700134277344,155600
2022-05-20,331.0799865722656,331.80999755859375,322.2200012207031,329.2099914550781,329.2099914550781,129800
2022-05-23,330.1400146484375,332.2799987792969,324.67999267578125,331.4599914550781,331.4599914550781,114000
2022-05-24,328.9200134277344,328.9200134277344,315.0799865722656,323.1199951171875,323.1199951171875,267400
2022-05-25,323.5,334.9700012207031,323.3999938964844,333.4100036621094,333.4100036621094,99200
2022-05-26,336.1000061035156,347.07000732421875,336.1000061035156,342.69000244140625,342.69000244140625,136800
2022-05-27,345.2099914550781,359.5299987792969,345.2099914550781,358.260009765625,358.260009765625,135500
2022-05-31,355.8399963378906,359.0299987792969,352.17999267578125,355.29998779296875,355.29998779296875,143300
2022-06-01,357.82000732421875,358.54998779296875,339.4100036621094,345.7699890136719,345.7699890136719,192400
2022-06-02,348.8299865722656,355.7799987792969,348.05999755859375,352.3999938964844,352.3999938964844,174400
2022-06-03,350.8500061035156,354.739990234375,345.95001220703125,347.3900146484375,347.3900146484375,120300
2022-06-06,345.2099914550781,348.9599914550781,331.80999755859375,333.510009765625,333.510009765625,128500
2022-06-07,331.05999755859375,336.55999755859375,327.489990234375,333.4200134277344,333.4200134277344,151300
2022-06-08,330.6199951171875,340.5,329.9700012207031,332.42999267578125,332.42999267578125,101000
